	UMAP1	UMAP2
medtr_mappings/paired/ERR2193167/abundance	5.723477	-1.6548795
medtr_mappings/paired/SRR5732304/abundance	4.5269356	-1.4248091
medtr_mappings/paired/SRR5721239/abundance	4.1911416	-0.4464346
medtr_mappings/paired/SRR5721230/abundance	4.1264987	-0.5374081
medtr_mappings/paired/SRR949259/abundance	4.9467483	-0.22792941
medtr_mappings/paired/ERR2193161/abundance	5.7188478	-1.4546517
medtr_mappings/paired/SRR5721278/abundance	4.4916987	-0.271397
medtr_mappings/paired/SRR7738228/abundance	-6.591965	3.0588925
medtr_mappings/paired/SRR5721262/abundance	4.556886	-0.45210493
medtr_mappings/paired/SRR1536247/abundance	4.17328	0.025705319
medtr_mappings/paired/SRR5217269/abundance	3.4016232	-0.43213153
medtr_mappings/paired/SRR949236/abundance	7.040189	0.44808775
medtr_mappings/paired/ERR2193160/abundance	5.6834273	-1.3244879
medtr_mappings/paired/SRR949239/abundance	6.6690845	0.41957906
medtr_mappings/paired/SRR3476745/abundance	4.7134104	-1.3293179
medtr_mappings/paired/SRR2890194/abundance	4.092029	-0.9080413
medtr_mappings/paired/SRR2910687/abundance	6.8384585	-0.9317555
medtr_mappings/paired/SRR949599/abundance	6.502404	0.4172032
medtr_mappings/paired/SRR5217278/abundance	3.2794895	-0.0869601
medtr_mappings/paired/SRR3476746/abundance	4.7764807	-0.62374294
medtr_mappings/paired/SRR5217282/abundance	3.0926247	-0.43022853
medtr_mappings/paired/SRR5217268/abundance	2.6971343	-0.17066318
medtr_mappings/paired/SRR5721252/abundance	4.1920805	0.01865267
medtr_mappings/paired/SRR5721229/abundance	-3.4131956	1.5324546
medtr_mappings/paired/SRR949266/abundance	2.865345	-0.13225493
medtr_mappings/paired/SRR5721287/abundance	3.7785504	-0.16246153
medtr_mappings/paired/SRR7738212/abundance	-5.59365	2.7781901
